"","Bad","Behavior_Score_Bins","Good_Customer_Score_Bins","Quarterly_Fico_Score_Bins","Credit_Limit","Utility_Bins","Opening_Balance_Bins","Ending_Balance_Bins","Net_Purchases_During_Cycle","Net_Payments_During_Cycle","Months_On_Book"
"3","0","[670, Inf)","[820, Inf)","[650, Inf)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,20,91
"4","0","[600,670)","[700,750)","[-Inf,550)",650,"[0.5,1)","[347, Inf)","[299, Inf)",15,20,164
"9","0","[670, Inf)","[700,750)","[650, Inf)",350,"[0.5,1)","[228,347)","[299, Inf)",150,100,110
"11","0","[670, Inf)","[-Inf,700)","[550,642)",950,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,0,156
"13","0","[600,670)","[700,750)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",146,300,107
"14","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[347, Inf)","[299, Inf)",26,62,154
"16","0","[670, Inf)","[820, Inf)","[550,642)",550,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,12,96
"19","0","[600,670)","[-Inf,700)","[550,642)",450,"[1, Inf)","[347, Inf)","[299, Inf)",0,30,150
"20","0","[670, Inf)","[820, Inf)","[650, Inf)",1100,"[0,0.5)","[228,347)","[242,299)",62,100,148
"26","0","[670, Inf)","[700,750)","[650, Inf)",450,"[1, Inf)","[347, Inf)","[299, Inf)",103,50,145
"28","0","[670, Inf)","[750,820)","[650, Inf)",2500,"[0.5,1)","[347, Inf)","[299, Inf)",188,150,140
"31","0","[600,670)","[820, Inf)","[550,642)",250,"[0,0.5)","[228,347)","[-Inf,131)",0,226,86
"33","0","[670, Inf)","[700,750)","[550,642)",350,"[0.5,1)","[228,347)","[299, Inf)",0,25,137
"36","0","[670, Inf)","[700,750)","[650, Inf)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,35,140
"37","0","[600,670)","[750,820)","[-Inf,550)",700,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,136
"42","0","[600,670)","[700,750)","[-Inf,550)",350,"[1, Inf)","[228,347)","[299, Inf)",123,25,113
"45","0","[670, Inf)","[820, Inf)","[650, Inf)",550,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,0,119
"47","0","[670, Inf)","[750,820)","[-Inf,550)",450,"[0.5,1)","[228,347)","[242,299)",76,50,116
"48","0","[600,670)","[-Inf,700)","[-Inf,550)",400,"[1, Inf)","[347, Inf)","[299, Inf)",37,70,124
"50","0","[600,670)","[-Inf,700)","[550,642)",550,"[1, Inf)","[347, Inf)","[299, Inf)",0,20,132
"53","0","[670, Inf)","[820, Inf)","[650, Inf)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,373,97
"57","0","[670, Inf)","[700,750)","[550,642)",500,"[0.5,1)","[141,228)","[299, Inf)",385,60,114
"58","0","[670, Inf)","[820, Inf)","[550,642)",1000,"[0.5,1)","[347, Inf)","[299, Inf)",0,100,129
"59","0","[600,670)","[700,750)","[-Inf,550)",550,"[0.5,1)","[347, Inf)","[299, Inf)",0,50,129
"60","0","[600,670)","[-Inf,700)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",75,50,129
"61","0","[670, Inf)","[820, Inf)","[550,642)",600,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,5,128
"63","0","[670, Inf)","[820, Inf)","[650, Inf)",500,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,20,115
"64","1","[670, Inf)","[750,820)","[550,642)",350,"[0.5,1)","[141,228)","[131,242)",121,100,99
"65","0","[600,670)","[700,750)","[550,642)",500,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,127
"70","0","[670, Inf)","[700,750)","[650, Inf)",1000,"[0.5,1)","[347, Inf)","[299, Inf)",0,60,126
"71","0","[600,670)","[750,820)","[650, Inf)",800,"[0.5,1)","[347, Inf)","[299, Inf)",155,125,125
"72","0","[670, Inf)","[820, Inf)","[650, Inf)",350,"[0.5,1)","[228,347)","[242,299)",66,50,109
"74","0","[600,670)","[750,820)","[-Inf,550)",1350,"[0.5,1)","[347, Inf)","[299, Inf)",0,100,125
"76","0","[670, Inf)","[700,750)","[550,642)",650,"[0.5,1)","[347, Inf)","[299, Inf)",21,35,110
"77","0","[600,670)","[700,750)","[550,642)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,30,125
"78","0","[670, Inf)","[750,820)","[-Inf,550)",650,"[0.5,1)","[347, Inf)","[299, Inf)",116,150,125
"80","0","[670, Inf)","[820, Inf)","[-Inf,550)",550,"[0.5,1)","[347, Inf)","[242,299)",20,100,124
"86","0","[600,670)","[700,750)","[650, Inf)",600,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,123
"88","1","[600,670)","[700,750)","[-Inf,550)",350,"[0.5,1)","[228,347)","[299, Inf)",36,20,96
"89","0","[600,670)","[700,750)","[650, Inf)",350,"[0.5,1)","[228,347)","[299, Inf)",113,100,122
"90","0","[670, Inf)","[750,820)","[-Inf,550)",825,"[0.5,1)","[347, Inf)","[299, Inf)",0,98,122
"91","0","[670, Inf)","[820, Inf)","[650, Inf)",750,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,31,122
"95","0","[670, Inf)","[820, Inf)","[650, Inf)",600,"[0,0.5)","[-Inf,141)","[-Inf,131)",37,110,122
"96","0","[670, Inf)","[820, Inf)","[650, Inf)",900,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,10,122
"98","0","[670, Inf)","[-Inf,700)","[650, Inf)",550,"[0,0.5)","[-Inf,141)","[131,242)",225,45,121
"99","0","[600,670)","[-Inf,700)","[650, Inf)",1000,"[0.5,1)","[347, Inf)","[299, Inf)",0,74,121
"102","0","[600,670)","[750,820)","[550,642)",550,"[0.5,1)","[347, Inf)","[242,299)",0,90,121
"108","0","[600,670)","[820, Inf)","[550,642)",450,"[0,0.5)","[-Inf,141)","[-Inf,131)",40,85,120
"109","0","[670, Inf)","[820, Inf)","[650, Inf)",450,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,0,113
"113","0","[670, Inf)","[820, Inf)","[550,642)",750,"[0,0.5)","[347, Inf)","[131,242)",15,400,119
"115","0","[600,670)","[700,750)","[-Inf,550)",650,"[0.5,1)","[347, Inf)","[299, Inf)",0,40,119
"116","0","[600,670)","[-Inf,700)","[550,642)",600,"[0.5,1)","[347, Inf)","[299, Inf)",0,34,118
"117","1","[670, Inf)","[820, Inf)","[550,642)",600,"[0.5,1)","[347, Inf)","[299, Inf)",0,100,118
"118","0","[600,670)","[700,750)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,117
"121","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",21,25,93
"125","0","[670, Inf)","[-Inf,700)","[650, Inf)",500,"[0.5,1)","[347, Inf)","[299, Inf)",26,50,118
"128","0","[670, Inf)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",36,35,118
"130","0","[670, Inf)","[750,820)","[-Inf,550)",400,"[0.5,1)","[228,347)","[242,299)",0,78,115
"131","0","[670, Inf)","[820, Inf)","[650, Inf)",400,"[0.5,1)","[228,347)","[131,242)",0,20,116
"133","0","[670, Inf)","[820, Inf)","[550,642)",600,"[0,0.5)","[228,347)","[242,299)",0,64,115
"135","0","[600,670)","[700,750)","[650, Inf)",525,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,105
"136","0","[670, Inf)","[820, Inf)","[550,642)",500,"[0,0.5)","[141,228)","[131,242)",84,100,115
"137","0","[670, Inf)","[750,820)","[-Inf,550)",650,"[0.5,1)","[347, Inf)","[299, Inf)",0,40,115
"138","0","[670, Inf)","[750,820)","[550,642)",550,"[0.5,1)","[347, Inf)","[299, Inf)",0,36,113
"140","0","[670, Inf)","[820, Inf)","[650, Inf)",550,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,3,115
"145","0","[670, Inf)","[700,750)","[650, Inf)",550,"[0.5,1)","[347, Inf)","[299, Inf)",90,50,114
"146","0","[600,670)","[700,750)","[-Inf,550)",550,"[0.5,1)","[347, Inf)","[299, Inf)",10,30,114
"147","1","[670, Inf)","[750,820)","[-Inf,550)",450,"[0.5,1)","[141,228)","[299, Inf)",152,20,114
"153","0","[670, Inf)","[820, Inf)","[550,642)",550,"[0,0.5)","[347, Inf)","[-Inf,131)",0,511,112
"157","0","[670, Inf)","[700,750)","[550,642)",550,"[0.5,1)","[347, Inf)","[299, Inf)",0,35,111
"158","0","[600,670)","[750,820)","[550,642)",350,"[0.5,1)","[228,347)","[131,242)",0,31,111
"162","0","[670, Inf)","[820, Inf)","[550,642)",450,"[0,0.5)","[228,347)","[131,242)",0,110,110
"163","0","[670, Inf)","[700,750)","[650, Inf)",550,"[0.5,1)","[347, Inf)","[299, Inf)",17,50,110
"165","0","[670, Inf)","[750,820)","[650, Inf)",550,"[0.5,1)","[347, Inf)","[299, Inf)",0,42,105
"166","0","[670, Inf)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",123,250,110
"167","0","[600,670)","[750,820)","[550,642)",400,"[0.5,1)","[228,347)","[242,299)",106,60,106
"168","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[228,347)","[299, Inf)",33,40,101
"169","0","[670, Inf)","[700,750)","[550,642)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,40,109
"173","1","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,26,107
"174","0","[670, Inf)","[820, Inf)","[550,642)",950,"[0,0.5)","[347, Inf)","[242,299)",33,200,108
"175","1","[600,670)","[700,750)","[650, Inf)",500,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,108
"177","0","[600,670)","[700,750)","[-Inf,550)",750,"[0.5,1)","[347, Inf)","[299, Inf)",0,30,107
"181","0","[600,670)","[700,750)","[650, Inf)",400,"[0.5,1)","[347, Inf)","[299, Inf)",27,20,106
"187","0","[670, Inf)","[820, Inf)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,12,104
"188","0","[670, Inf)","[700,750)","[550,642)",350,"[0.5,1)","[228,347)","[299, Inf)",40,25,105
"191","0","[670, Inf)","[820, Inf)","[650, Inf)",350,"[0.5,1)","[228,347)","[131,242)",0,100,104
"192","0","[670, Inf)","[700,750)","[650, Inf)",350,"[0.5,1)","[228,347)","[242,299)",0,30,97
"193","0","[600,670)","[-Inf,700)","[550,642)",350,"[0.5,1)","[347, Inf)","[299, Inf)",5,65,103
"194","1","[670, Inf)","[700,750)","[-Inf,550)",825,"[0.5,1)","[347, Inf)","[299, Inf)",0,40,92
"196","0","[600,670)","[700,750)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",7,20,104
"200","0","[670, Inf)","[750,820)","[650, Inf)",850,"[0,0.5)","[347, Inf)","[299, Inf)",20,150,103
"202","0","[670, Inf)","[750,820)","[650, Inf)",350,"[0.5,1)","[228,347)","[242,299)",0,20,103
"204","1","[600,670)","[-Inf,700)","[-Inf,550)",450,"[1, Inf)","[347, Inf)","[299, Inf)",54,25,102
"206","0","[670, Inf)","[820, Inf)","[650, Inf)",450,"[0,0.5)","[-Inf,141)","[-Inf,131)",157,219,102
"208","0","[670, Inf)","[700,750)","[550,642)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,102
"209","0","[600,670)","[700,750)","[550,642)",500,"[0.5,1)","[347, Inf)","[299, Inf)",25,20,102
"212","0","[600,670)","[-Inf,700)","[-Inf,550)",450,"[1, Inf)","[347, Inf)","[299, Inf)",20,20,102
"214","0","[670, Inf)","[750,820)","[642,650)",400,"[0.5,1)","[347, Inf)","[242,299)",47,150,102
"216","0","[600,670)","[-Inf,700)","[-Inf,550)",350,"[0.5,1)","[347, Inf)","[299, Inf)",15,50,99
"226","0","[670, Inf)","[820, Inf)","[550,642)",400,"[0,0.5)","[347, Inf)","[-Inf,131)",0,396,100
"227","0","[670, Inf)","[700,750)","[650, Inf)",350,"[0.5,1)","[228,347)","[299, Inf)",0,30,100
"230","0","[670, Inf)","[820, Inf)","[650, Inf)",700,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,100
"232","0","[670, Inf)","[820, Inf)","[642,650)",400,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,20,100
"234","0","[600,670)","[750,820)","[550,642)",350,"[0.5,1)","[141,228)","[242,299)",100,25,90
"237","1","[600,670)","[820, Inf)","[650, Inf)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",14,69,99
"243","0","[670, Inf)","[-Inf,700)","[550,642)",1100,"[0.5,1)","[347, Inf)","[299, Inf)",4,50,97
"244","1","[600,670)","[700,750)","[650, Inf)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,99
"247","0","[670, Inf)","[820, Inf)","[650, Inf)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,6,99
"249","0","[670, Inf)","[820, Inf)","[650, Inf)",400,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,25,99
"251","0","[670, Inf)","[750,820)","[550,642)",550,"[0.5,1)","[347, Inf)","[299, Inf)",0,50,99
"253","0","[670, Inf)","[700,750)","[550,642)",350,"[0.5,1)","[228,347)","[242,299)",49,50,99
"254","0","[600,670)","[-Inf,700)","[550,642)",250,"[1, Inf)","[228,347)","[242,299)",0,50,98
"261","0","[600,670)","[820, Inf)","[650, Inf)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,6,84
"262","0","[600,670)","[700,750)","[-Inf,550)",350,"[0.5,1)","[228,347)","[299, Inf)",0,20,98
"264","0","[670, Inf)","[820, Inf)","[550,642)",400,"[0,0.5)","[-Inf,141)","[-Inf,131)",159,140,98
"265","0","[670, Inf)","[820, Inf)","[550,642)",400,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,25,98
"266","0","[670, Inf)","[700,750)","[642,650)",850,"[0.5,1)","[347, Inf)","[299, Inf)",130,125,98
"271","0","[600,670)","[820, Inf)","[650, Inf)",750,"[0.5,1)","[347, Inf)","[299, Inf)",53,300,98
"273","0","[670, Inf)","[700,750)","[-Inf,550)",250,"[0.5,1)","[141,228)","[131,242)",72,80,97
"274","0","[670, Inf)","[750,820)","[650, Inf)",600,"[0.5,1)","[141,228)","[299, Inf)",263,50,97
"275","0","[670, Inf)","[700,750)","[550,642)",750,"[0.5,1)","[347, Inf)","[299, Inf)",0,40,97
"276","0","[600,670)","[700,750)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,59,97
"281","0","[600,670)","[750,820)","[-Inf,550)",400,"[0.5,1)","[-Inf,141)","[242,299)",116,25,97
"283","0","[600,670)","[820, Inf)","[-Inf,550)",675,"[0.5,1)","[228,347)","[299, Inf)",0,50,96
"284","0","[600,670)","[820, Inf)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,0,95
"287","0","[670, Inf)","[820, Inf)","[650, Inf)",550,"[0,0.5)","[-Inf,141)","[-Inf,131)",163,169,96
"288","0","[670, Inf)","[750,820)","[642,650)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,50,96
"289","0","[600,670)","[700,750)","[-Inf,550)",450,"[0.5,1)","[228,347)","[299, Inf)",94,30,96
"291","0","[600,670)","[-Inf,700)","[550,642)",450,"[1, Inf)","[228,347)","[299, Inf)",116,20,96
"293","0","[670, Inf)","[750,820)","[-Inf,550)",250,"[0.5,1)","[141,228)","[242,299)",52,35,96
"296","1","[600,670)","[-Inf,700)","[-Inf,550)",550,"[0.5,1)","[347, Inf)","[299, Inf)",0,45,96
"298","0","[600,670)","[820, Inf)","[650, Inf)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",85,20,95
"301","0","[670, Inf)","[750,820)","[642,650)",500,"[0.5,1)","[228,347)","[299, Inf)",0,20,95
"307","0","[670, Inf)","[750,820)","[-Inf,550)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,107,95
"308","0","[600,670)","[750,820)","[650, Inf)",250,"[0.5,1)","[-Inf,141)","[131,242)",187,0,93
"310","0","[670, Inf)","[820, Inf)","[650, Inf)",450,"[0.5,1)","[228,347)","[131,242)",4,100,95
"312","1","[670, Inf)","[700,750)","[550,642)",550,"[0.5,1)","[347, Inf)","[299, Inf)",0,30,94
"314","0","[670, Inf)","[700,750)","[550,642)",800,"[0.5,1)","[347, Inf)","[299, Inf)",248,496,94
"315","0","[670, Inf)","[820, Inf)","[550,642)",500,"[0.5,1)","[-Inf,141)","[242,299)",212,25,94
"316","0","[670, Inf)","[820, Inf)","[650, Inf)",250,"[0,0.5)","[141,228)","[-Inf,131)",0,156,94
"318","0","[670, Inf)","[820, Inf)","[-Inf,550)",450,"[0.5,1)","[228,347)","[242,299)",0,50,94
"320","0","[600,670)","[-Inf,700)","[550,642)",250,"[1, Inf)","[228,347)","[242,299)",0,28,84
"321","0","[670, Inf)","[700,750)","[550,642)",350,"[0.5,1)","[228,347)","[299, Inf)",112,50,94
"324","0","[600,670)","[-Inf,700)","[550,642)",400,"[1, Inf)","[347, Inf)","[299, Inf)",0,50,93
"325","0","[670, Inf)","[750,820)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",78,75,94
"326","0","[670, Inf)","[820, Inf)","[650, Inf)",300,"[1, Inf)","[-Inf,141)","[299, Inf)",336,150,93
"327","0","[670, Inf)","[700,750)","[550,642)",450,"[0.5,1)","[228,347)","[299, Inf)",419,314,93
"328","1","[670, Inf)","[820, Inf)","[650, Inf)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,6,93
"329","0","[670, Inf)","[750,820)","[650, Inf)",550,"[0.5,1)","[347, Inf)","[299, Inf)",196,200,93
"330","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[-Inf,141)","[131,242)",182,100,93
"332","0","[600,670)","[750,820)","[550,642)",350,"[0.5,1)","[141,228)","[131,242)",23,40,93
"335","0","[670, Inf)","[820, Inf)","[550,642)",250,"[0,0.5)","[141,228)","[-Inf,131)",46,100,92
"336","0","[670, Inf)","[750,820)","[550,642)",500,"[0.5,1)","[347, Inf)","[299, Inf)",-97,44,93
"337","0","[600,670)","[700,750)","[550,642)",425,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,93
"339","0","[670, Inf)","[700,750)","[650, Inf)",250,"[0.5,1)","[228,347)","[131,242)",0,50,91
"342","0","[670, Inf)","[750,820)","[650, Inf)",400,"[0.5,1)","[228,347)","[299, Inf)",79,23,93
"345","0","[600,670)","[-Inf,700)","[-Inf,550)",400,"[1, Inf)","[347, Inf)","[299, Inf)",0,25,92
"346","0","[670, Inf)","[820, Inf)","[650, Inf)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,0,92
"350","0","[600,670)","[-Inf,700)","[-Inf,550)",300,"[1, Inf)","[347, Inf)","[299, Inf)",0,50,92
"354","0","[670, Inf)","[820, Inf)","[650, Inf)",450,"[0.5,1)","[228,347)","[242,299)",0,50,92
"355","0","[670, Inf)","[820, Inf)","[-Inf,550)",900,"[0,0.5)","[347, Inf)","[299, Inf)",423,500,92
"358","0","[670, Inf)","[750,820)","[650, Inf)",600,"[0.5,1)","[347, Inf)","[299, Inf)",0,50,92
"360","1","[600,670)","[-Inf,700)","[550,642)",775,"[0.5,1)","[347, Inf)","[299, Inf)",0,120,92
"361","0","[600,670)","[700,750)","[-Inf,550)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,30,91
"362","0","[670, Inf)","[700,750)","[650, Inf)",1500,"[0.5,1)","[347, Inf)","[299, Inf)",31,50,91
"364","0","[670, Inf)","[820, Inf)","[550,642)",400,"[0.5,1)","[228,347)","[242,299)",0,50,91
"368","1","[600,670)","[-Inf,700)","[-Inf,550)",250,"[1, Inf)","[228,347)","[242,299)",3,20,91
"370","0","[670, Inf)","[820, Inf)","[650, Inf)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,12,90
"372","0","[670, Inf)","[750,820)","[650, Inf)",250,"[0.5,1)","[141,228)","[131,242)",0,50,91
"374","0","[670, Inf)","[700,750)","[550,642)",600,"[0.5,1)","[347, Inf)","[299, Inf)",35,20,90
"383","0","[670, Inf)","[700,750)","[-Inf,550)",650,"[0.5,1)","[347, Inf)","[299, Inf)",100,41,89
"385","0","[670, Inf)","[820, Inf)","[650, Inf)",450,"[0,0.5)","[-Inf,141)","[131,242)",126,6,89
"387","0","[600,670)","[700,750)","[550,642)",550,"[0.5,1)","[347, Inf)","[299, Inf)",18,20,89
"388","0","[670, Inf)","[820, Inf)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,30,89
"389","1","[670, Inf)","[820, Inf)","[550,642)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,121,89
"390","0","[600,670)","[700,750)","[-Inf,550)",500,"[0.5,1)","[347, Inf)","[299, Inf)",0,40,89
"391","0","[670, Inf)","[820, Inf)","[650, Inf)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",188,214,89
"395","0","[600,670)","[700,750)","[-Inf,550)",350,"[0.5,1)","[347, Inf)","[299, Inf)",0,63,89
"396","0","[670, Inf)","[700,750)","[550,642)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,89
"399","0","[670, Inf)","[700,750)","[-Inf,550)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,45,85
"411","0","[670, Inf)","[750,820)","[550,642)",350,"[0.5,1)","[228,347)","[131,242)",88,150,88
"413","0","[670, Inf)","[750,820)","[650, Inf)",850,"[0.5,1)","[347, Inf)","[299, Inf)",248,340,88
"414","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[-Inf,141)","[242,299)",136,25,88
"415","0","[670, Inf)","[820, Inf)","[-Inf,550)",400,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,6,87
"416","0","[600,670)","[700,750)","[650, Inf)",400,"[1, Inf)","[347, Inf)","[299, Inf)",0,25,87
"421","0","[670, Inf)","[700,750)","[642,650)",400,"[0.5,1)","[141,228)","[299, Inf)",209,30,87
"425","0","[670, Inf)","[700,750)","[-Inf,550)",500,"[0.5,1)","[347, Inf)","[299, Inf)",0,30,86
"426","0","[600,670)","[750,820)","[642,650)",875,"[0.5,1)","[347, Inf)","[299, Inf)",18,200,86
"429","0","[600,670)","[820, Inf)","[650, Inf)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,60,85
"431","0","[670, Inf)","[820, Inf)","[550,642)",350,"[0.5,1)","[141,228)","[131,242)",30,60,86
"433","0","[670, Inf)","[750,820)","[550,642)",450,"[0,0.5)","[228,347)","[131,242)",115,200,85
"435","0","[670, Inf)","[820, Inf)","[650, Inf)",400,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,54,85
"436","0","[670, Inf)","[-Inf,700)","[550,642)",875,"[0.5,1)","[347, Inf)","[299, Inf)",15,50,85
"437","0","[670, Inf)","[820, Inf)","[650, Inf)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,20,85
"443","0","[670, Inf)","[700,750)","[-Inf,550)",700,"[0.5,1)","[347, Inf)","[299, Inf)",0,50,85
"444","0","[600,670)","[700,750)","[642,650)",250,"[1, Inf)","[141,228)","[242,299)",65,40,84
"450","0","[670, Inf)","[750,820)","[650, Inf)",1000,"[0.5,1)","[347, Inf)","[299, Inf)",0,30,84
"451","0","[670, Inf)","[700,750)","[550,642)",525,"[0.5,1)","[347, Inf)","[299, Inf)",0,20,84
"454","0","[670, Inf)","[700,750)","[650, Inf)",450,"[0.5,1)","[347, Inf)","[299, Inf)",17,50,84
"455","0","[670, Inf)","[750,820)","[550,642)",250,"[0.5,1)","[-Inf,141)","[131,242)",236,0,84
"460","0","[670, Inf)","[700,750)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",35,70,83
"468","0","[670, Inf)","[700,750)","[642,650)",350,"[0.5,1)","[228,347)","[299, Inf)",0,20,82
"469","0","[670, Inf)","[700,750)","[550,642)",750,"[0.5,1)","[347, Inf)","[299, Inf)",381,50,82
"473","0","[670, Inf)","[750,820)","[-Inf,550)",300,"[0.5,1)","[228,347)","[131,242)",12,40,82
"476","0","[670, Inf)","[750,820)","[550,642)",300,"[1, Inf)","[228,347)","[299, Inf)",78,50,82
"481","0","[600,670)","[750,820)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",0,20,81
"484","0","[670, Inf)","[700,750)","[550,642)",525,"[0.5,1)","[347, Inf)","[299, Inf)",98,50,81
"486","0","[600,670)","[750,820)","[650, Inf)",250,"[0.5,1)","[141,228)","[131,242)",8,25,81
"487","0","[670, Inf)","[750,820)","[650, Inf)",400,"[0.5,1)","[228,347)","[242,299)",0,50,80
"488","0","[670, Inf)","[820, Inf)","[650, Inf)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,6,80
"492","0","[600,670)","[700,750)","[550,642)",550,"[0,0.5)","[347, Inf)","[-Inf,131)",0,569,80
"493","0","[670, Inf)","[820, Inf)","[-Inf,550)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,12,80
"495","0","[670, Inf)","[700,750)","[550,642)",500,"[0.5,1)","[347, Inf)","[299, Inf)",15,40,80
"497","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",45,25,80
"501","0","[670, Inf)","[820, Inf)","[-Inf,550)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",105,11,79
"505","0","[670, Inf)","[750,820)","[-Inf,550)",250,"[0.5,1)","[141,228)","[131,242)",50,51,79
"508","0","[670, Inf)","[700,750)","[550,642)",450,"[0.5,1)","[347, Inf)","[299, Inf)",66,25,79
"510","0","[600,670)","[750,820)","[650, Inf)",350,"[0.5,1)","[228,347)","[299, Inf)",9,20,78
"516","0","[670, Inf)","[820, Inf)","[550,642)",450,"[0.5,1)","[141,228)","[242,299)",111,50,78
"517","0","[600,670)","[700,750)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,70,78
"522","0","[670, Inf)","[820, Inf)","[650, Inf)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",92,6,78
"523","0","[670, Inf)","[820, Inf)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,50,78
"528","0","[670, Inf)","[820, Inf)","[550,642)",550,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,6,78
"533","0","[670, Inf)","[750,820)","[550,642)",600,"[0,0.5)","[-Inf,141)","[-Inf,131)",4,10,77
"536","0","[670, Inf)","[700,750)","[550,642)",500,"[0.5,1)","[347, Inf)","[299, Inf)",30,40,77
"540","0","[670, Inf)","[820, Inf)","[650, Inf)",300,"[0.5,1)","[141,228)","[131,242)",0,20,77
"545","0","[600,670)","[700,750)","[-Inf,550)",300,"[0,0.5)","[141,228)","[-Inf,131)",0,120,77
"546","0","[670, Inf)","[700,750)","[650, Inf)",400,"[0.5,1)","[347, Inf)","[299, Inf)",34,50,77
"551","0","[600,670)","[700,750)","[-Inf,550)",250,"[1, Inf)","[228,347)","[242,299)",15,25,76
"554","0","[670, Inf)","[820, Inf)","[650, Inf)",450,"[0,0.5)","[-Inf,141)","[-Inf,131)",115,24,76
"555","0","[670, Inf)","[750,820)","[550,642)",350,"[0.5,1)","[228,347)","[242,299)",52,60,76
"557","0","[670, Inf)","[750,820)","[-Inf,550)",450,"[0.5,1)","[228,347)","[299, Inf)",0,25,76
"559","0","[670, Inf)","[820, Inf)","[650, Inf)",450,"[0.5,1)","[228,347)","[299, Inf)",0,40,75
"560","0","[600,670)","[700,750)","[550,642)",300,"[1, Inf)","[228,347)","[299, Inf)",19,26,75
"561","1","[600,670)","[700,750)","[-Inf,550)",450,"[1, Inf)","[347, Inf)","[299, Inf)",32,50,75
