"","Bad","Behavior_Score_Bins","Good_Customer_Score_Bins","Quarterly_Fico_Score_Bins","Credit_Limit","Utility_Bins","Opening_Balance_Bins","Ending_Balance_Bins","Net_Purchases_During_Cycle","Net_Payments_During_Cycle","Months_On_Book"
"2413","0","[670, Inf)","[820, Inf)","[650, Inf)",300,"[0,0.5)","[141,228)","[-Inf,131)",0,100,28
"2417","0","[600,670)","[700,750)","[550,642)",300,"[0.5,1)","[228,347)","[242,299)",15,45,28
"2419","0","[600,670)","[700,750)","[550,642)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,145,28
"2420","0","[670, Inf)","[820, Inf)","[650, Inf)",400,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,14,28
"2421","0","[670, Inf)","[750,820)","[650, Inf)",500,"[0.5,1)","[347, Inf)","[299, Inf)",0,100,28
"2423","0","[600,670)","[820, Inf)","[550,642)",550,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,7,28
"2425","0","[670, Inf)","[820, Inf)","[550,642)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",16,25,28
"2432","1","[670, Inf)","[750,820)","[550,642)",375,"[0,0.5)","[141,228)","[131,242)",53,30,28
"2434","0","[670, Inf)","[700,750)","[642,650)",250,"[0.5,1)","[228,347)","[131,242)",15,120,28
"2438","0","[670, Inf)","[820, Inf)","[650, Inf)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,50,27
"2439","0","[600,670)","[700,750)","[-Inf,550)",350,"[0.5,1)","[228,347)","[299, Inf)",16,29,27
"2440","0","[670, Inf)","[820, Inf)","[550,642)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",157,120,27
"2442","0","[600,670)","[700,750)","[550,642)",300,"[0.5,1)","[228,347)","[242,299)",0,25,27
"2443","0","[670, Inf)","[820, Inf)","[642,650)",300,"[0.5,1)","[-Inf,141)","[131,242)",172,96,27
"2444","0","[670, Inf)","[820, Inf)","[-Inf,550)",350,"[0.5,1)","[228,347)","[242,299)",53,150,27
"2445","0","[670, Inf)","[820, Inf)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,94,27
"2448","0","[600,670)","[750,820)","[650, Inf)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,75,27
"2452","0","[670, Inf)","[700,750)","[642,650)",250,"[0.5,1)","[-Inf,141)","[131,242)",222,50,27
"2454","0","[600,670)","[-Inf,700)","[550,642)",250,"[1, Inf)","[228,347)","[242,299)",89,75,27
"2458","0","[670, Inf)","[820, Inf)","[650, Inf)",350,"[0,0.5)","[141,228)","[-Inf,131)",0,201,27
"2460","0","[600,670)","[820, Inf)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,7,27
"2465","0","[670, Inf)","[750,820)","[-Inf,550)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,40,27
"2470","0","[600,670)","[700,750)","[650, Inf)",300,"[0.5,1)","[228,347)","[242,299)",23,40,27
"2471","0","[600,670)","[820, Inf)","[550,642)",350,"[0.5,1)","[228,347)","[131,242)",0,50,27
"2472","0","[600,670)","[700,750)","[550,642)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,30,27
"2475","0","[600,670)","[750,820)","[550,642)",250,"[0.5,1)","[228,347)","[131,242)",0,100,27
"2476","0","[670, Inf)","[820, Inf)","[650, Inf)",325,"[0,0.5)","[141,228)","[131,242)",9,50,27
"2477","0","[600,670)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",0,34,27
