DebtDimId,Months_On_Book,Credit_Limit,Opening_Balance,Ending_Balance,Over_limit_Amount,Actual_Min_Pay_Due,Total_Min_Pay_Due,Net_Payments_During_Cycle,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Net_Premier_Fees_Billed_During_C,Net_Behavior_Fees_Billed_During,Net_Concessions_Billed_During_Cy,Quarterly_Fico_Score,Behavior_Score,Good_Customer_Score,Utility,Bad
1349246,129,"1,000",594,509,0,20,20,100,0,0,5,10,0,576,707,846,0.50896,0
1362000,129,550,500,465,0,20,20,50,0,0,6,8,0,494,668,742,0.844545455,0
1362924,129,450,410,448,0,20,20,50,75,0,6,7,0,547,650,694,0.994644444,0
1376670,128,600,0,0,0,0,0,5,0,0,5,0,0,633,714,1000,0,0
1413069,128,"1,150",302,978,0,30,30,50,719,0,5,2,0,703,691,770,0.850113044,0
1420425,115,500,12,-2,0,0,0,20,0,0,6,0,0,741,693,841,-0.00414,0
1463986,99,350,188,218,0,20,20,100,121,0,6,3,0,620,701,766,0.622714286,1
1485963,127,500,487,484,0,20,20,20,0,0,6,11,0,606,662,703,0.96774,0
1491851,95,400,55,6,0,6,6,55,0,0,6,0,0,683,708,955,0.0145,0
1510490,126,"1,000",974,961,0,29,29,35,0,0,6,16,0,648,672,716,0.96134,0
1536991,126,950,724,611,0,20,20,130,0,0,6,11,0,653,705,771,0.643284211,0
1547800,112,350,-137,-132,0,0,0,0,0,0,5,0,0,711,669,792,-0.377714286,0
1557589,126,"1,000",951,912,0,28,28,60,0,0,6,16,0,709,680,731,0.91249,0
1563576,125,800,511,606,0,25,25,125,155,43,6,16,0,674,647,762,0.756925,0
1571303,109,350,257,285,0,20,20,50,66,0,5,7,0,655,684,839,0.815057143,0
1604331,125,850,590,505,0,25,25,100,0,0,6,9,0,510,680,815,0.593588235,0
1616088,125,"1,350","1,136","1,060",0,32,32,100,0,0,6,18,0,509,652,756,0.785007407,0
1626001,96,700,-12,44,0,20,20,0,0,0,56,0,0,773,698,1000,0.062857143,0
1630532,110,650,648,648,0,20,20,35,21,0,3,11,0,599,680,717,0.996661539,0
1636680,125,450,457,443,0,20,20,30,0,0,5,11,0,598,661,703,0.984466667,0
1647792,125,650,541,524,0,25,25,150,116,0,6,10,0,535,694,778,0.805461539,0
1653393,119,350,266,213,0,20,20,75,12,0,6,4,0,647,686,908,0.6088,0
1682359,124,550,359,285,0,20,20,100,20,0,0,6,0,511,703,838,0.517745455,0
1695646,119,250,-70,-89,0,0,0,25,0,0,6,0,0,678,677,996,-0.356,0
1695646,119,250,-70,-89,0,0,0,25,0,0,6,0,0,678,677,996,-0.356,0
1695646,119,250,-70,-89,0,0,0,25,0,0,6,0,0,678,677,996,-0.356,0
1695646,119,250,-70,-89,0,0,0,25,0,0,6,0,0,678,677,996,-0.356,0
1699374,124,"1,000",971,-8,0,0,0,985,0,0,6,0,0,646,688,996,-0.00849,0
1709208,124,400,223,193,0,25,25,50,0,0,17,4,0,719,688,847,0.483325,0
1737032,104,350,232,259,0,20,20,120,136,0,6,5,0,662,700,786,0.740742857,0
1795540,113,350,352,261,0,20,20,100,0,0,5,4,0,617,638,768,0.746285714,0
1806925,123,600,591,581,0,25,25,25,0,0,6,10,0,671,656,733,0.968933333,0
1808337,123,750,81,-19,0,0,0,125,19,0,6,0,0,615,715,862,-0.025253333,0
1808596,96,350,286,315,0,20,20,20,36,0,6,7,0,521,636,744,0.900685714,1
1827155,122,350,276,345,0,25,25,100,113,0,51,5,0,682,656,701,0.986714286,0
1827155,122,350,276,345,0,25,25,100,113,0,51,5,0,682,656,701,0.986714286,0
1827155,122,350,276,345,0,25,25,100,113,0,51,5,0,682,656,701,0.986714286,0
1827155,122,350,276,345,0,25,25,100,113,0,51,5,0,682,656,701,0.986714286,0
1835409,122,825,814,738,0,23,23,98,0,0,3,18,0,538,683,767,0.894133333,0
1836443,122,750,31,6,0,6,6,31,0,0,6,0,0,713,705,985,0.008,0
1844255,122,800,613,608,0,20,20,21,0,0,6,10,0,476,679,764,0.7598875,0
1850160,122,700,412,427,0,25,25,50,54,0,3,7,0,601,680,832,0.609314286,0
1862539,90,500,446,479,0,20,20,40,58,0,7,8,0,673,657,717,0.95836,0
1877349,122,600,109,39,0,20,20,110,37,0,3,0,0,808,714,980,0.065766667,0
1885541,122,900,0,-7,0,0,0,10,0,0,3,0,0,681,721,993,-0.007466667,0
1922068,100,350,350,341,0,20,20,20,0,0,6,6,0,601,664,718,0.975314286,0
1925933,122,650,0,493,0,20,20,100,20,0,6,12,0,668,695,,0.758230769,0
1985159,121,550,45,225,0,20,20,45,225,0,0,0,0,651,695,0,0.409090909,0
1989014,121,"1,000","1,042",991,0,30,30,74,0,0,6,17,0,673,659,685,0.99115,0
1989650,121,450,506,444,0,20,20,76,0,0,6,8,0,568,667,702,0.987088889,0
1990297,119,400,6,246,0,20,20,10,244,0,6,0,0,508,623,841,0.615675,0
2028222,121,550,365,287,0,20,20,90,0,0,6,5,0,616,648,818,0.521618182,0
2043404,121,450,475,446,0,20,20,50,5,0,6,10,0,678,664,708,0.991688889,0
2087116,120,450,69,101,0,20,20,25,0,0,56,1,0,715,692,929,0.225177778,0
2090928,120,700,445,435,0,20,20,100,27,0,56,7,0,700,682,858,0.6214,0
2100176,120,400,404,429,29,25,54,55,22,0,51,7,0,497,654,722,1.071575,0
2126364,120,550,92,56,0,20,20,92,0,0,56,0,0,719,706,954,0.102509091,0
2127694,120,450,85,46,0,20,20,85,40,0,6,0,0,566,637,856,0.102222222,0
2156315,113,450,-3,48,0,20,20,0,0,0,51,0,0,726,693,831,0.106644444,0
2171817,106,250,221,81,0,20,20,120,0,0,6,-26,0,494,659,883,0.32524,0
2176714,119,300,302,203,0,20,20,170,60,0,6,5,0,607,681,767,0.677033333,0
2210575,119,500,312,396,0,20,20,26,100,0,3,6,0,569,686,768,0.79104,0
2213407,119,750,589,215,0,20,20,400,15,0,3,7,0,595,709,867,0.286226667,0
2221881,119,500,444,480,0,20,20,40,62,0,6,8,0,685,677,713,0.95914,0
2224481,119,350,331,320,0,20,20,20,0,0,3,6,0,557,666,,0.913228571,0
2230664,119,650,595,571,0,20,20,40,0,0,3,14,0,536,642,722,0.878661539,0
2255389,118,600,614,596,0,20,20,34,0,0,6,10,0,621,644,679,0.993383333,0
2275327,118,600,450,360,0,20,20,100,0,0,3,7,0,550,697,820,0.600816667,1
2295854,117,450,424,417,0,20,20,20,0,0,6,7,0,524,658,725,0.926222222,0
2296393,119,800,-4,136,0,20,20,0,137,0,3,0,0,727,696,942,0.169525,0
2299228,118,350,333,335,0,20,20,40,31,0,6,5,0,668,676,717,0.9578,0
2302624,93,250,235,241,0,20,20,25,21,0,6,4,0,540,665,721,0.9656,0
2302705,118,550,303,280,0,20,20,30,0,0,3,5,0,569,698,870,0.509818182,0
2340299,118,300,6,6,0,6,6,6,0,0,6,0,0,633,663,996,0.0201,0
2349239,94,600,437,401,0,20,20,50,0,0,6,7,0,506,686,801,0.667816667,0
2352008,118,500,424,478,0,20,20,50,26,63,6,10,0,702,674,699,0.95686,0
2360660,118,250,215,213,0,20,20,20,9,0,6,4,0,484,650,719,0.8538,0
2377582,118,450,425,445,0,20,20,20,27,0,3,10,0,628,666,708,0.988777778,0
2399988,118,300,260,270,0,20,20,35,36,0,3,5,0,494,687,723,0.8985,0
2543188,90,250,245,239,0,20,20,20,4,0,6,4,0,493,656,721,0.95552,0
2544450,115,400,328,263,0,20,20,78,0,0,6,7,0,518,671,765,0.656725,0
2559003,116,400,236,226,0,20,20,20,0,0,6,4,0,663,676,834,0.564175,0
2565272,84,350,335,327,0,20,20,30,11,0,6,6,0,509,660,709,0.9348,0
2592386,115,600,302,260,0,20,20,64,0,0,17,5,0,550,698,867,0.432916667,0
2596158,116,750,719,686,0,21,21,50,0,0,6,12,0,567,662,708,0.91484,1
2609075,105,525,497,491,0,20,20,20,0,0,6,8,0,676,662,723,0.935866667,0
2645514,115,500,195,185,0,20,20,100,84,0,3,3,0,611,684,876,0.37048,0
2660954,115,650,561,533,0,20,20,40,0,0,3,9,0,525,682,755,0.819953846,0
2680887,113,550,446,434,0,20,20,36,0,0,16,7,0,553,686,765,0.788745455,0
2687378,96,675,29,6,0,6,6,29,0,0,6,0,0,739,703,1000,0.008888889,0
2692324,115,550,3,3,0,3,3,3,0,0,3,0,0,676,680,996,0.005490909,0
2698554,115,650,154,664,14,20,34,75,570,0,6,8,0,743,675,703,1.021184615,0
2729994,89,250,219,232,0,20,20,20,24,0,6,4,0,526,664,735,0.92736,0
2732546,114,450,436,433,0,20,20,20,0,0,10,7,0,559,663,736,0.962266667,0
2744494,114,450,452,416,0,20,20,50,0,0,6,7,0,532,633,707,0.923333333,1
2748240,114,550,464,523,0,20,20,50,90,0,6,13,0,691,670,717,0.950218182,0
2773115,114,550,549,541,0,20,20,30,10,0,3,9,0,527,668,709,0.983890909,0
2783988,114,450,176,319,0,20,20,20,152,0,6,6,0,467,676,757,0.709977778,1
