"","Bad","Behavior_Score_Bins","Good_Customer_Score_Bins","Quarterly_Fico_Score_Bins","Credit_Limit","Utility_Bins","Opening_Balance_Bins","Ending_Balance_Bins","Net_Purchases_During_Cycle","Net_Payments_During_Cycle","Months_On_Book"
"4054","0","[670, Inf)","[750,820)","[650, Inf)",350,"[0.5,1)","[228,347)","[131,242)",14,50,13
"4055","0","[600,670)","[820, Inf)","[550,642)",250,"[0,0.5)","[141,228)","[-Inf,131)",0,100,13
"4060","1","[600,670)","[820, Inf)","[650, Inf)",400,"[0,0.5)","[-Inf,141)","[-Inf,131)",85,55,13
"4061","0","[600,670)","[700,750)","[550,642)",250,"[1, Inf)","[228,347)","[242,299)",20,57,13
"4062","0","[600,670)","[700,750)","[550,642)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,45,13
"4064","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,35,13
"4068","1","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,80,13
"4069","0","[670, Inf)","[750,820)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",41,43,13
"4070","1","[600,670)","[750,820)","[-Inf,550)",275,"[0.5,1)","[228,347)","[242,299)",64,125,13
"4071","0","[670, Inf)","[750,820)","[650, Inf)",300,"[0.5,1)","[228,347)","[242,299)",4,25,13
"4074","1","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",81,50,13
"4075","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[347, Inf)","[299, Inf)",0,56,13
"4078","0","[600,670)","[700,750)","[-Inf,550)",350,"[0.5,1)","[347, Inf)","[299, Inf)",111,180,13
"4080","0","[600,670)","[-Inf,700)","[550,642)",250,"[1, Inf)","[347, Inf)","[299, Inf)",0,70,13
"4082","0","[670, Inf)","[820, Inf)","[650, Inf)",200,"[0,0.5)","[-Inf,141)","[-Inf,131)",82,95,13
"4083","0","[670, Inf)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",10,100,13
"4087","0","[670, Inf)","[820, Inf)","[650, Inf)",350,"[0,0.5)","[141,228)","[-Inf,131)",318,460,13
"4090","0","[600,670)","[750,820)","[650, Inf)",250,"[0.5,1)","[141,228)","[131,242)",0,25,13
"4091","0","[600,670)","[700,750)","[-Inf,550)",325,"[1, Inf)","[347, Inf)","[299, Inf)",15,52,13
"4092","0","[670, Inf)","[820, Inf)","[550,642)",250,"[0,0.5)","[228,347)","[-Inf,131)",0,261,13
"4093","0","[600,670)","[700,750)","[550,642)",200,"[0.5,1)","[228,347)","[131,242)",0,60,13
"4094","0","[600,670)","[700,750)","[-Inf,550)",300,"[0.5,1)","[347, Inf)","[242,299)",0,140,13
"4096","0","[670, Inf)","[750,820)","[550,642)",250,"[0.5,1)","[228,347)","[131,242)",0,30,13
"4097","1","[600,670)","[700,750)","[650, Inf)",250,"[0.5,1)","[228,347)","[131,242)",13,75,13
"4100","0","[600,670)","[700,750)","[650, Inf)",400,"[1, Inf)","[347, Inf)","[299, Inf)",23,43,13
"4102","0","[600,670)","[750,820)","[650, Inf)",350,"[0.5,1)","[228,347)","[242,299)",0,35,13
"4106","0","[670, Inf)","[820, Inf)","[-Inf,550)",250,"[0.5,1)","[141,228)","[131,242)",0,30,13
"4107","0","[600,670)","[820, Inf)","[550,642)",400,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,25,13
"4108","0","[670, Inf)","[820, Inf)","[550,642)",325,"[0,0.5)","[-Inf,141)","[131,242)",132,118,13
"4110","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,50,13
"4111","0","[600,670)","[-Inf,700)","[-Inf,550)",250,"[1, Inf)","[228,347)","[242,299)",49,50,13
"4112","0","[670, Inf)","[820, Inf)","[550,642)",375,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,55,13
"4113","0","[670, Inf)","[700,750)","[650, Inf)",200,"[0,0.5)","[-Inf,141)","[-Inf,131)",13,57,13
"4117","0","[600,670)","[-Inf,700)","[550,642)",250,"[1, Inf)","[-Inf,141)","[299, Inf)",269,105,13
"4118","0","[600,670)","[700,750)","[-Inf,550)",350,"[0.5,1)","[347, Inf)","[242,299)",131,374,13
"4120","0","[600,670)","[750,820)","[550,642)",300,"[0.5,1)","[141,228)","[131,242)",0,26,13
"4121","0","[600,670)","[750,820)","[550,642)",250,"[0.5,1)","[228,347)","[131,242)",20,100,13
"4123","1","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",22,95,13
"4124","0","[670, Inf)","[820, Inf)","[642,650)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,100,13
"4125","0","[670, Inf)","[700,750)","[650, Inf)",500,"[0.5,1)","[347, Inf)","[299, Inf)",0,184,13
"4126","0","[600,670)","[750,820)","[550,642)",250,"[0.5,1)","[228,347)","[131,242)",0,111,13
"4127","0","[670, Inf)","[820, Inf)","[650, Inf)",400,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,55,13
"4128","1","[600,670)","[700,750)","[550,642)",250,"[1, Inf)","[228,347)","[242,299)",141,200,13
"4129","1","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[228,347)","[131,242)",0,58,13
"4132","1","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[228,347)","[242,299)",0,25,13
"4133","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[228,347)","[131,242)",16,117,13
"4136","0","[600,670)","[700,750)","[650, Inf)",250,"[0.5,1)","[228,347)","[131,242)",0,60,13
"4137","0","[600,670)","[700,750)","[-Inf,550)",325,"[0.5,1)","[347, Inf)","[299, Inf)",10,47,13
